5094	98	32	47	12	55	70	34	31	13	86	48	52	84	77	98	54	86	12	52	21	18	18	65	95	48	46	23	38	62	1	45	73	46	53	71	44	80	27	69	28	99	2	83	6	95	44	55	87	26	5	59	44	87	33	84	58	26	7	7	64	50	24	63	28	3	64	92	48	16	63	26	10	68	50	97	98	35	33	83	34	83	24	30	98	64	37	85	85	65	5	73	79	63	80	64	21	19	50	80	
15	5550	56	72	61	71	61	78	12	79	95	39	83	95	58	95	67	24	35	28	63	31	97	48	26	18	61	40	24	39	85	12	65	79	76	57	70	13	87	28	69	79	38	98	68	75	82	79	89	82	62	22	73	54	99	69	33	78	61	85	39	26	34	97	57	30	29	59	75	31	67	31	88	48	81	19	67	7	51	94	54	56	94	53	98	17	12	7	84	87	0	40	4	19	64	64	56	13	55	21	
21	6	4922	15	63	59	94	64	29	91	85	62	82	16	88	0	37	43	58	13	33	74	73	11	68	26	55	90	55	87	67	16	52	88	43	75	87	32	31	27	93	8	90	76	51	7	7	89	69	81	87	26	62	12	65	72	58	48	13	63	81	51	69	77	4	35	13	20	13	24	55	79	60	54	18	1	11	80	42	63	78	24	20	29	40	65	14	86	20	35	10	79	67	42	51	45	92	21	52	78	
52	68	29	4917	56	78	77	8	2	74	72	3	50	51	68	27	81	66	38	20	37	18	9	48	73	18	33	9	61	0	44	78	95	60	38	66	85	72	44	67	73	65	88	90	15	38	55	40	5	51	68	70	53	9	35	52	26	88	36	54	52	1	51	49	61	33	87	25	64	38	50	47	53	92	69	56	17	75	76	50	8	79	32	19	20	87	35	28	40	98	40	0	96	63	67	17	19	41	79	90	
15	74	58	63	5188	57	63	2	16	50	90	54	76	10	27	92	88	58	52	19	1	15	95	80	27	32	95	64	50	69	58	25	34	38	4	54	83	86	11	93	19	0	48	40	20	97	57	64	81	28	55	92	95	18	26	97	95	86	46	88	78	96	28	69	1	28	78	2	46	70	7	91	7	55	35	85	34	14	81	12	64	96	58	86	66	93	53	89	40	40	63	11	24	21	45	12	79	69	32	48	
78	68	43	64	75	5159	9	25	30	81	89	6	59	40	85	8	36	13	7	67	12	26	82	36	92	93	32	4	57	5	91	14	1	50	37	46	28	98	57	51	34	75	26	72	14	74	74	39	95	50	47	10	16	74	77	78	77	59	48	4	87	66	27	45	49	48	10	69	49	18	67	15	73	91	31	24	91	84	92	54	41	79	18	71	41	36	98	30	96	44	25	43	29	34	81	97	84	66	76	53	
88	10	37	74	98	93	5345	58	57	79	96	63	93	71	16	11	99	79	52	20	19	73	85	85	90	4	41	23	17	94	46	23	7	79	21	88	3	43	11	57	2	67	63	37	20	38	47	53	40	79	88	10	61	47	58	96	73	8	93	66	17	65	64	63	63	68	19	52	24	57	32	94	82	17	62	91	35	28	58	96	26	54	66	46	25	44	90	74	76	69	56	37	93	39	55	79	37	28	32	54	
92	89	83	22	17	21	41	4748	27	51	9	50	21	94	28	72	10	38	62	51	56	80	76	10	7	0	57	33	39	42	6	11	47	5	70	69	17	12	86	82	2	85	94	59	91	28	40	1	0	96	46	41	0	96	46	43	41	41	51	10	46	14	99	79	34	4	8	96	31	27	20	63	26	24	56	95	37	77	89	89	14	53	44	79	94	21	28	73	90	27	87	21	16	97	87	33	73	10	16	94	
70	45	24	25	28	6	19	25	4920	1	16	33	66	13	88	57	49	22	88	81	67	23	41	49	53	68	58	1	47	20	52	46	29	58	42	62	57	90	53	53	19	18	73	76	57	45	49	5	93	84	15	86	67	60	71	38	27	99	14	29	35	14	46	80	77	38	32	50	35	22	77	45	38	9	89	47	48	68	1	82	49	54	27	22	41	61	99	38	16	88	36	82	94	27	75	87	96	23	51	75	
55	90	83	19	21	35	59	58	49	4932	93	94	59	63	16	24	0	40	97	95	62	28	95	76	95	64	20	23	63	63	76	6	45	21	17	45	96	24	35	38	22	85	37	86	80	44	76	91	15	67	28	23	71	44	12	69	86	60	25	43	99	3	26	12	15	18	23	54	56	40	11	42	93	12	74	35	17	25	19	48	83	71	34	42	13	1	61	22	39	4	44	86	59	19	87	90	95	56	99	25	
