(2354,2274)	(30,0)	(0,13)	(39,2)	(18,20)	(59,32)	(35,86)	(15,9)	(40,55)	(50,79)	(19,68)	(41,89)	(88,22)	(96,16)	(57,21)	(43,74)	(42,44)	(76,3)	(58,34)	(60,63)	(6,50)	(32,27)	(86,14)	(1,98)	(29,52)	(97,0)	(52,46)	(9,94)	(67,81)	(40,65)	(48,8)	(41,0)	(0,50)	(40,47)	(36,20)	(28,62)	(15,55)	(65,52)	(76,49)	(44,40)	(82,94)	(68,45)	(70,58)	(56,98)	(97,25)	(88,5)	(46,99)	(52,75)	(18,45)	(42,32)	
(84,67)	(2275,2371)	(18,53)	(32,41)	(57,62)	(43,4)	(20,96)	(20,24)	(90,43)	(72,93)	(25,81)	(11,37)	(69,14)	(0,36)	(47,54)	(11,96)	(31,26)	(63,27)	(96,41)	(84,63)	(43,4)	(79,42)	(91,32)	(55,50)	(44,54)	(41,27)	(41,35)	(7,26)	(11,17)	(6,76)	(98,78)	(7,71)	(34,43)	(66,84)	(82,56)	(26,78)	(3,58)	(8,81)	(29,1)	(91,71)	(77,39)	(7,11)	(46,40)	(65,59)	(58,68)	(11,52)	(15,30)	(93,11)	(15,31)	(86,54)	
(62,76)	(0,32)	(2359,2000)	(60,14)	(20,9)	(81,54)	(28,38)	(56,41)	(90,84)	(18,31)	(48,97)	(31,7)	(7,17)	(64,20)	(25,72)	(35,34)	(62,65)	(22,14)	(48,9)	(90,81)	(34,9)	(73,40)	(74,40)	(97,8)	(55,8)	(32,18)	(37,82)	(57,70)	(30,48)	(29,23)	(33,4)	(57,78)	(69,18)	(53,8)	(96,6)	(2,13)	(96,10)	(32,15)	(46,88)	(11,47)	(33,64)	(95,94)	(46,53)	(14,9)	(74,21)	(52,73)	(15,58)	(37,73)	(58,59)	(74,3)	
(89,19)	(3,40)	(30,17)	(2427,2001)	(50,28)	(39,71)	(3,1)	(67,95)	(68,18)	(90,8)	(71,76)	(95,55)	(44,28)	(78,39)	(92,65)	(67,33)	(57,5)	(27,53)	(40,32)	(4,88)	(8,89)	(20,10)	(9,0)	(43,2)	(65,52)	(32,40)	(54,30)	(52,83)	(32,41)	(77,99)	(76,15)	(79,48)	(24,12)	(4,55)	(21,94)	(13,56)	(95,33)	(95,17)	(64,4)	(39,74)	(28,2)	(22,74)	(27,74)	(52,41)	(32,49)	(11,2)	(56,54)	(66,23)	(86,12)	(42,14)	
(93,34)	(94,91)	(85,19)	(45,99)	(2728,2840)	(58,22)	(89,85)	(12,67)	(77,70)	(16,52)	(67,73)	(90,28)	(5,54)	(82,9)	(89,55)	(97,44)	(34,67)	(38,33)	(50,64)	(90,63)	(43,55)	(2,67)	(61,78)	(92,83)	(32,13)	(73,51)	(7,91)	(34,71)	(92,42)	(64,76)	(56,25)	(60,43)	(85,71)	(34,90)	(50,98)	(69,82)	(11,1)	(48,89)	(38,12)	(16,45)	(41,59)	(66,76)	(93,57)	(66,98)	(10,31)	(60,43)	(28,30)	(30,53)	(14,1)	(70,94)	
(9,66)	(82,55)	(32,40)	(55,4)	(87,57)	(2496,2118)	(3,61)	(90,34)	(64,36)	(97,36)	(15,84)	(61,31)	(79,17)	(72,58)	(43,41)	(46,75)	(35,98)	(90,21)	(3,4)	(54,97)	(41,7)	(12,10)	(41,64)	(34,8)	(99,99)	(39,50)	(44,29)	(11,50)	(72,63)	(69,13)	(63,95)	(82,22)	(98,17)	(81,8)	(52,33)	(73,20)	(6,63)	(23,23)	(11,51)	(32,16)	(36,14)	(81,37)	(47,12)	(5,95)	(36,3)	(95,43)	(52,16)	(29,62)	(10,73)	(24,72)	
(93,33)	(11,45)	(47,28)	(21,49)	(58,28)	(70,57)	(2445,2479)	(0,32)	(41,70)	(28,30)	(99,3)	(42,65)	(63,89)	(48,37)	(43,68)	(6,39)	(30,11)	(3,21)	(73,78)	(96,17)	(22,0)	(89,20)	(28,55)	(88,85)	(17,98)	(63,18)	(45,86)	(12,36)	(32,19)	(47,89)	(9,97)	(86,79)	(99,27)	(67,72)	(44,71)	(67,81)	(9,12)	(9,79)	(86,55)	(79,66)	(38,27)	(85,92)	(85,27)	(14,18)	(19,98)	(71,29)	(88,67)	(24,4)	(58,40)	(9,64)	
(78,32)	(35,34)	(11,90)	(75,92)	(47,73)	(76,98)	(34,92)	(2721,2498)	(84,72)	(41,23)	(44,5)	(26,56)	(5,27)	(97,71)	(68,46)	(93,81)	(53,62)	(56,29)	(66,57)	(72,1)	(14,65)	(74,43)	(11,7)	(93,54)	(67,52)	(90,20)	(91,14)	(24,23)	(20,22)	(9,27)	(41,79)	(55,62)	(93,91)	(59,83)	(43,4)	(37,91)	(47,2)	(78,45)	(79,39)	(98,11)	(86,80)	(58,69)	(91,34)	(38,26)	(9,35)	(26,41)	(54,77)	(30,82)	(77,75)	(41,5)	
(18,45)	(91,44)	(2,21)	(62,78)	(73,71)	(9,10)	(41,42)	(20,62)	(2376,2111)	(89,4)	(15,36)	(30,34)	(95,8)	(62,2)	(66,62)	(40,31)	(82,84)	(32,79)	(67,34)	(45,90)	(2,1)	(49,64)	(3,66)	(51,6)	(57,66)	(87,39)	(14,62)	(17,92)	(41,80)	(15,88)	(34,78)	(68,30)	(51,8)	(40,0)	(61,49)	(7,29)	(89,14)	(97,93)	(47,29)	(51,27)	(38,63)	(43,11)	(61,20)	(59,13)	(86,16)	(52,90)	(49,3)	(38,18)	(63,20)	(27,61)	
(24,94)	(93,62)	(21,12)	(42,76)	(13,99)	(15,52)	(9,59)	(33,8)	(29,36)	(2205,2550)	(61,54)	(15,38)	(25,25)	(79,96)	(16,83)	(3,31)	(1,1)	(23,4)	(69,43)	(0,71)	(59,80)	(8,66)	(14,21)	(78,78)	(95,53)	(24,2)	(15,97)	(43,18)	(97,33)	(79,25)	(75,87)	(11,7)	(64,13)	(79,72)	(34,97)	(97,41)	(75,8)	(25,76)	(98,32)	(44,73)	(51,68)	(46,84)	(93,36)	(46,61)	(87,40)	(62,99)	(16,59)	(1,24)	(12,80)	(77,75)	
