12459	69	20	91	13	41	43	93	14	16	48	62	93	88	28	50	2	46	28	4	90	69	51	77	61	62	43	81	90	4	4	62	35	26	72	2	21	32	52	35	73	46	83	8	68	14	26	35	24	64	24	61	91	59	71	74	23	51	7	62	87	16	5	87	85	76	23	32	32	1	58	93	84	94	87	15	12	0	50	70	27	75	48	98	75	97	64	39	42	85	49	24	61	5	45	2	29	2	37	76	83	40	95	10	8	60	12	55	42	52	36	63	78	87	62	45	6	29	89	75	1	74	39	19	76	40	35	58	96	73	78	36	93	7	89	47	85	93	10	31	33	73	72	77	7	54	64	70	1	23	94	3	57	68	75	39	86	55	71	97	57	64	42	50	43	88	39	88	90	84	29	88	82	56	62	66	90	74	17	83	68	45	70	35	9	34	91	12	32	41	97	77	61	27	25	23	4	62	97	69	75	70	86	2	13	95	90	28	12	59	80	22	74	25	31	31	30	45	85	33	85	23	6	79	59	30	19	67	5	70	67	10	2	98	27	57	5	9	24	56	29	27	47	1	76	82	32	7	64	23	
35	13052	15	4	3	12	18	85	93	30	83	97	23	69	28	1	69	95	10	81	90	36	16	77	66	53	1	17	30	66	0	96	90	66	63	52	33	19	78	13	87	54	29	19	31	48	64	84	61	10	75	91	93	74	1	62	38	10	92	74	90	28	18	36	70	15	7	22	8	25	78	28	67	78	4	81	87	88	23	25	90	3	7	35	83	86	71	58	0	75	98	43	93	19	67	38	51	14	45	35	21	10	63	87	90	25	93	47	23	76	64	30	52	81	39	46	26	93	29	21	82	35	84	13	68	47	78	93	44	50	11	97	84	29	24	44	80	76	11	97	27	9	91	77	75	13	61	66	43	87	19	39	6	98	48	18	62	64	96	62	66	0	25	94	61	15	93	89	33	70	3	92	39	23	57	40	95	87	31	25	78	67	97	32	73	65	13	79	77	89	43	99	69	35	73	60	4	3	51	5	48	36	71	6	54	93	89	93	47	50	65	65	58	77	68	20	15	28	63	33	99	86	21	97	41	80	37	49	85	6	89	47	95	26	85	36	53	72	59	43	40	74	37	80	97	62	43	55	36	66	
26	1	12172	74	76	42	18	57	60	27	75	43	65	44	51	5	55	68	83	19	94	83	88	89	77	29	82	14	54	75	88	76	28	11	27	61	92	31	90	35	9	7	3	94	42	36	43	85	53	19	59	66	50	22	12	88	12	43	96	86	99	42	53	50	85	41	34	46	66	42	28	37	27	25	58	65	62	83	64	11	4	14	72	71	14	5	54	95	61	11	9	70	7	83	50	34	95	91	41	45	48	41	87	90	28	61	43	28	5	32	59	95	63	77	1	23	88	22	16	1	7	29	33	27	91	47	23	87	4	80	50	83	92	65	11	47	75	55	11	31	51	69	71	43	65	55	34	17	8	91	89	22	92	40	51	59	30	54	7	65	10	49	67	95	80	22	38	23	80	62	13	67	80	12	93	57	68	13	0	61	4	73	55	6	68	13	55	84	3	91	59	17	20	54	40	29	62	55	29	62	35	59	46	7	36	86	48	68	71	71	31	75	9	64	18	62	1	69	78	61	56	52	62	53	62	43	26	9	85	46	67	68	52	42	13	68	31	51	46	33	58	1	6	92	23	28	12	89	76	10	
63	32	31	11273	12	80	48	21	8	65	77	62	10	56	27	59	8	74	2	55	71	29	94	6	87	6	33	18	88	61	32	84	5	38	93	7	27	62	84	92	6	45	1	78	15	53	50	68	1	7	9	37	30	68	28	54	13	91	50	19	49	36	13	35	15	16	38	33	60	16	93	19	29	7	42	72	39	0	98	63	31	35	6	37	86	71	69	83	4	68	56	12	26	34	19	76	66	41	74	14	34	98	97	19	83	94	91	92	67	38	17	76	92	35	66	33	76	18	34	29	70	35	59	60	67	33	67	76	8	17	4	19	33	80	9	84	51	14	46	73	10	17	33	16	26	41	97	89	99	41	27	7	99	14	7	9	82	31	97	10	40	84	41	40	38	15	24	14	62	11	37	12	76	11	95	95	49	95	47	25	16	49	39	65	25	99	52	35	77	2	33	31	31	10	66	28	56	37	96	80	50	25	1	60	34	2	2	32	91	64	95	20	45	68	48	69	26	12	13	35	16	76	55	63	35	0	29	92	88	67	27	30	5	65	42	26	47	28	12	92	26	51	95	10	72	43	16	48	93	79	
29	61	60	90	12173	83	88	14	27	32	38	6	85	19	65	36	45	39	72	31	7	74	58	1	24	9	99	28	81	91	51	15	64	34	13	60	90	15	7	83	58	46	32	45	41	99	66	94	74	99	97	20	88	97	84	38	10	58	42	20	46	35	52	79	9	86	9	67	37	52	58	90	96	18	15	40	65	97	73	97	93	74	21	27	51	73	29	33	11	57	62	16	99	81	66	3	55	62	71	68	99	57	39	0	78	94	33	7	33	77	52	98	41	4	7	84	53	53	89	20	60	66	30	23	73	66	13	61	23	1	3	38	35	38	47	13	0	52	84	81	99	12	73	14	15	30	67	47	26	38	64	29	44	43	1	38	4	0	9	87	84	39	25	79	14	20	47	65	45	95	79	19	49	57	34	40	66	14	97	19	41	34	14	34	44	38	45	45	35	45	38	94	39	73	41	69	12	98	66	60	54	24	78	97	51	72	37	67	7	86	5	98	11	32	67	73	31	66	13	12	18	37	16	58	76	57	3	13	44	16	63	73	94	98	93	11	42	70	13	58	37	2	55	26	87	29	19	90	66	36	
95	47	91	91	63	12272	81	43	35	66	31	36	17	90	73	48	41	1	69	25	14	49	41	52	3	66	71	63	99	1	15	77	34	19	63	8	25	38	25	13	43	12	74	8	73	85	66	51	90	50	36	3	39	90	51	54	83	80	45	89	51	79	67	89	24	45	61	81	67	95	64	78	33	15	57	71	58	20	87	26	12	14	80	42	73	69	36	2	5	4	19	54	29	65	20	89	82	35	66	87	78	30	66	16	52	58	36	81	95	90	78	77	49	95	55	2	56	82	33	85	60	54	6	15	90	50	59	41	40	45	5	3	22	86	99	29	5	23	12	94	7	12	7	28	94	37	28	11	35	48	69	5	25	20	61	62	94	15	35	26	54	72	50	71	27	28	88	91	12	6	64	98	21	98	1	47	62	20	76	61	28	48	68	52	36	31	84	81	37	31	56	70	64	52	18	1	29	80	88	32	81	40	17	13	2	47	52	55	23	98	89	8	17	49	51	92	73	26	24	27	82	95	95	18	29	92	4	0	95	21	15	94	8	33	70	27	82	84	80	18	59	74	2	76	91	44	61	11	11	46	
15	34	26	83	95	66	11615	80	71	3	59	13	39	72	32	71	24	33	88	98	21	47	82	24	22	9	16	42	44	72	14	60	67	30	33	85	43	40	38	31	88	27	20	55	6	42	94	12	21	26	68	13	97	47	67	13	32	1	74	31	2	34	88	72	98	76	20	51	20	4	32	87	90	12	25	9	18	7	14	62	0	39	19	97	28	71	48	72	59	29	14	91	55	62	0	33	24	52	42	71	64	65	35	55	77	10	17	1	49	36	97	36	11	18	26	15	44	19	85	13	92	62	59	82	82	4	92	78	25	72	48	20	65	82	26	52	85	72	62	89	22	28	86	26	0	44	69	58	92	10	80	61	45	36	54	56	11	99	9	24	17	86	45	39	94	34	25	44	82	55	84	24	5	94	66	69	49	5	47	82	0	17	3	51	4	95	70	66	22	37	77	30	44	84	30	31	2	54	61	38	0	84	68	87	18	33	96	48	68	20	20	67	11	32	38	31	52	78	32	19	7	60	88	32	18	20	23	92	27	94	70	54	7	21	18	84	97	98	10	55	3	19	38	94	87	67	74	94	68	3	
56	10	97	82	82	83	54	12823	47	84	94	59	57	0	62	29	86	59	97	77	31	29	92	38	66	3	22	6	42	70	16	96	7	24	32	65	73	84	84	34	47	9	9	45	58	73	13	89	22	70	22	83	91	89	72	87	84	83	12	4	26	1	6	2	2	55	0	24	76	59	76	13	8	82	21	51	42	91	76	76	18	79	84	80	95	57	63	71	43	35	47	45	3	73	29	38	65	60	59	17	75	49	68	24	38	35	60	10	75	15	93	92	29	51	17	64	83	8	32	34	99	79	13	15	47	98	44	84	79	12	47	77	35	31	62	70	42	49	43	58	35	3	74	61	67	64	71	1	40	14	57	81	36	88	91	38	73	52	81	43	56	29	29	75	91	39	71	84	19	18	42	74	78	85	67	68	45	47	19	6	61	79	12	4	67	48	44	14	42	43	70	76	36	85	85	92	31	47	70	21	93	55	80	78	34	15	90	84	98	81	53	25	55	7	46	54	67	96	22	13	93	79	16	2	24	30	51	47	84	58	45	94	21	20	35	64	85	19	62	42	94	57	48	18	4	35	43	36	72	49	
54	10	68	55	98	46	98	46	12640	57	71	46	39	86	22	37	65	87	20	6	62	94	50	74	51	75	97	55	17	11	9	93	19	89	47	63	31	97	7	48	97	2	24	94	15	33	19	71	56	6	6	83	23	53	86	9	93	5	26	74	86	75	90	49	41	3	54	19	90	62	91	47	36	52	16	49	6	32	53	5	19	88	96	89	62	55	72	62	59	84	91	23	54	20	58	34	19	3	94	37	91	55	29	60	70	78	79	3	22	53	46	63	42	24	12	24	70	44	96	53	2	75	54	67	26	27	95	95	97	53	68	67	5	87	85	19	90	4	45	56	92	23	36	52	90	51	5	23	32	29	66	62	17	86	49	38	30	3	95	99	93	94	10	30	29	27	7	79	60	58	10	7	43	67	78	5	99	79	59	60	24	77	98	84	38	6	2	72	49	88	72	39	97	13	90	18	14	42	55	78	86	21	70	93	84	4	8	71	48	71	90	9	9	17	32	37	73	34	79	9	91	47	53	24	5	38	38	90	73	92	73	78	13	76	21	90	22	78	77	15	53	60	15	15	43	8	84	55	7	46	
20	57	75	14	11	58	14	20	11	11832	97	53	56	28	60	23	74	51	66	87	28	76	96	80	93	39	2	90	63	28	62	41	54	71	92	15	55	35	60	99	14	3	42	7	80	57	47	69	57	87	2	89	53	14	70	66	97	69	11	98	69	67	19	79	59	45	82	28	54	90	40	39	1	83	38	56	70	68	27	17	22	76	53	47	17	10	54	86	45	60	48	9	68	97	93	44	51	49	26	45	30	80	34	68	12	16	26	74	61	2	68	56	23	15	76	10	1	42	65	50	99	29	12	1	78	93	38	60	86	82	27	38	25	11	27	14	57	66	36	50	82	11	80	47	50	62	25	8	73	66	94	35	49	20	71	39	65	44	92	15	19	26	22	27	32	55	54	1	15	22	2	89	78	46	21	40	60	33	83	18	89	11	13	18	28	63	18	68	86	42	98	97	16	26	6	53	66	64	24	57	33	96	80	9	10	8	59	93	16	32	58	4	21	81	43	6	35	85	40	50	49	54	12	94	35	81	3	30	29	56	28	6	0	87	52	48	69	32	4	25	84	86	91	43	96	51	7	6	76	64	
